"","Sample","Rock","litho","upper","lower","Co","Ni","Cr","V","Sr","Rb","Ba","Pb","Zr","Yb","Nb","Hf","Th","U","La","Ce","Pr","Nd","Sm","Eu","Gd","Tb","Dy","Ho","Er","Tm"
"1","SUC I-16B","Black shale","shale",2.7,2.3,19.16,6.47,16.09,23.21,33.52,1.1,49.83,2.73,9.47,0.14,0.81,0.28,0.08,0.04,0.66,1.42,0.19,0.81,0.21,0.06,0.23,0.04,0.18,0.05,0.12,0.02
"2","SUC I-15","Black shale","shale",2.7,2.3,7.23,9.57,17.15,26.2,411.65,1.81,25.02,2.8,17.15,0.49,2.34,0.48,0.29,0.25,8.49,11.1,1.4,5.5,1.13,0.27,1.3,0.19,1.01,0.22,0.57,0.08
"3","SUC I -13C","Limestone","carbonate",NA,2.1,6.65,10.83,16.3,23.15,603.64,0.17,101.16,2.46,16.56,0.32,1.1,0.47,0.17,0.14,5.98,7.24,0.85,3.2,0.58,0.16,0.65,0.09,0.49,0.12,0.32,0.05
"4","SUC I -13B","Limestone","carbonate",NA,2.05,6.64,10.59,15.74,22.91,575.61,0.18,72.55,2.04,14.33,0.27,0.99,0.42,0.21,0.1,4.09,4.83,0.56,2.17,0.42,0.12,0.47,0.07,0.38,0.09,0.26,0.04
"5","SUC I -13A","Limestone","carbonate",NA,2,8.5,10.33,18.09,27.99,598.63,1.89,138.7,2.48,27,0.79,2.2,0.73,0.45,0.33,9.56,11.26,1.33,5.08,0.99,0.25,1.12,0.18,1.02,0.25,0.73,0.12
"6","SUC I-12","Black shale","shale",1.5,0.6,10.67,12.52,24.04,37.08,77.63,8.48,43.25,7.13,48.19,0.84,5.01,1.36,2.26,0.8,11.3,19.4,2.62,10.08,2,0.4,2.05,0.29,1.55,0.33,0.86,0.13
"7","SUC I-9","Stolitic limestone","carbonate",NA,0.4,7.24,10.91,14.93,22.47,534.68,0.1,106.09,1.72,10.51,0.24,0.84,0.32,0.16,0.11,4.49,4.62,0.53,2.06,0.38,0.11,0.44,0.06,0.33,0.08,0.23,0.04
"8","SUC I AB 8","Limestone","carbonate",340,0.35,2.55,5.4,12.97,20.26,26.95,0.09,4.83,1.53,8.8,0.13,0.65,0.27,0.05,0.02,0.54,1.28,0.16,0.7,0.19,0.05,0.21,0.04,0.17,0.04,0.11,0.02
"9","SUC I-7","Black shale","shale",0.3,0.2,10.06,8.11,19.59,28.98,77.1,8.33,24.54,1.69,24.57,0.38,2.72,0.66,0.91,0.39,5.16,9.96,1.36,5.19,1.05,0.2,0.96,0.14,0.76,0.15,0.39,0.06
"10","SUC I-6B","Black shale","shale",0.3,0.2,8.14,7.35,16.57,26.95,63.23,14.26,26.75,4.56,18.05,0.3,1.66,0.47,0.46,0.34,3.07,5.65,0.76,3.03,0.62,0.15,0.65,0.1,0.5,0.11,0.29,0.05
"11","SUC I-6A","Black shale","shale",0.3,0.2,10.85,6.16,14.7,21.4,43.06,0.62,9.23,2.2,10.73,0.27,0.83,0.31,0.12,0.09,3.08,4.16,0.5,2.02,0.41,0.12,0.48,0.07,0.4,0.1,0.27,0.04
"12","SUC l-5","Black shale","shale",0.2,0.1,7.93,9.05,19.06,31.89,105.8,7.62,49.23,2.02,23.6,0.41,2.41,0.67,0.99,0.49,5.4,8.83,1.26,4.95,1.02,0.25,1.04,0.15,0.8,0.17,0.44,0.07
"13","SUC l-4","Black shale","shale",0.2,0.1,3.87,6.99,13.5,31.53,46.05,0.78,25.84,2.52,24.85,0.21,1.02,0.41,0.12,0.13,2.72,4.3,0.61,2.43,0.53,0.15,0.53,0.08,0.4,0.09,0.22,0.03
